sexo,año,tramo,N,n_adopt,irpf_perdido,ss_perdido,fiscal_perdido,aporte_fondo,saldo_fondo
H,2041,2,341577.3405116833,10247.320215350499,204.64584473813122,69180.06866663983,69384.71451137796,275284.0102651758,9705778.79834816
H,2041,3,655233.7108395351,32761.685541976756,4086.234891324688,2655620.295075142,2659706.5299664666,10567347.194935687,357237404.80251235
H,2041,4,959626.1224920475,67173.82857444334,1517831.8438770017,12731976.998623982,14249808.842500985,50663576.29210236,1370397740.6089067
H,2041,5,1552867.7729070357,155286.77729070358,21050773.48426306,58474080.74888289,79524854.23314595,232682328.23949942,6000162377.384018
H,2041,6,756995.6134665334,189248.90336663334,56337826.321503006,105417346.92214032,161755173.2436433,419480792.25073135,15390732676.32202
H,2041,7,663288.3920464256,265315.35681857023,177859892.93217725,235628839.49002656,413488732.4222038,937623409.7353998,50225436350.811966
H,2041,8,702334.4188237041,316050.48847066687,486439316.12953943,429656732.8543789,916096048.9839183,1709706722.4309194,45505674370.54973
H,2041,9,504245.6889744804,252122.8444872402,556033432.3371788,342749913.6752456,898783346.0124245,1363883739.5381744,18906294700.043907
H,2041,10,287064.54597954167,143532.27298977083,500517376.18533283,195125809.70958188,695643185.8949147,776452183.9654642,6517439681.510628
H,2042,1,220038.554045466,0.0,0.0,0.0,0.0,0.0,0.0
H,2042,2,306344.1061745728,9190.323185237183,183.53690644329754,62044.23943646363,62227.776342906924,246888.84204821166,10077504.321368057
H,2042,3,599286.1749369923,29964.30874684962,3737.3291962930753,2428868.512704434,2432605.841900727,9665047.71491384,371427804.9147159
H,2042,4,919632.3908621856,64374.267360353,1454574.125062893,12201354.43712242,13655928.562185312,48552102.431456,1439023946.894555
H,2042,5,1512947.9252266316,151294.79252266316,20509617.51096772,56970877.168080136,77480494.67904785,226700722.29512858,6314248960.538541
H,2042,6,708035.6967512642,177008.92418781604,52694086.20524402,98599309.36176704,151293395.56701106,392350192.96204877,16014021131.753338
H,2042,7,579740.0805670109,231896.03222680438,155456525.23785344,205948851.2506608,361405376.48851424,819519650.3053977,51857591700.65515
H,2042,8,639996.1035413343,287998.24659360043,443263577.276514,391520944.32114965,834784521.5976636,1557955314.7727408,47812882669.9128
H,2042,9,502430.8568449029,251215.42842245146,554032210.7894506,341516321.46147215,895548532.2509228,1358974981.5940933,20587892774.969677
H,2042,10,309176.1110496457,154588.05552482285,539070456.6240034,210155659.61155355,749226116.235557,836259545.1670816,7470770118.366419
H,2043,1,188509.0392461506,0.0,0.0,0.0,0.0,0.0,0.0
H,2043,2,271540.93866465153,8146.228159939546,162.68562982184113,54995.51215687827,55158.19778670011,218840.27328861592,10430470.956404733
H,2043,3,544778.5137879893,27238.925689399464,3397.402994165624,2207952.450557838,2211349.853552004,8785969.958967177,385070715.26117647
H,2043,4,880079.5788636676,61605.570520456735,1392013.8047890682,11676581.839969404,13068595.644758472,46463906.9756568,1506729436.2727156
H,2043,5,1473662.812658819,147366.2812658819,19977066.0468977,55491574.88323791,75468640.93013561,220814225.3139225,6627660582.794408
H,2043,6,656061.5116545681,164015.37791364203,48826015.42505744,91361512.20169649,140187527.62675393,363549270.00675076,16619465136.862461
H,2043,7,501395.4891650847,200558.1956660339,134448528.10470524,178117450.34915957,312565978.4538648,708771861.2509811,53403220069.811676
H,2043,8,574582.0905712182,258561.94075704817,397957599.2671131,351503581.73381364,749461181.0009267,1398716674.7193277,49995048006.198685
H,2043,9,496427.29023671424,248213.64511835712,547412057.5181254,337435529.1380213,884847586.6561468,1342736534.6322646,22279764928.210804
H,2043,10,330586.73515114316,165293.36757557158,576401396.8179753,224709060.31081623,801110457.1287916,894171001.2368119,8498110982.227314
H,2044,1,158145.73067023748,0.0,0.0,0.0,0.0,0.0,0.0
H,2044,2,236776.76134392776,7103.302840317832,141.85771300578887,47954.68160709929,48096.53932010508,190823.12750229822,10764407.707476085
H,2044,3,491744.9339067091,24587.246695335456,3066.6696070737426,1993010.7454481218,1996077.4150551956,7930665.596073843,398178335.320321
H,2044,4,840907.0718034924,58863.49502624447,1330055.0093510842,11156854.993045518,12486910.002396602,44395789.764714,1573518908.5283194
H,2044,5,1435934.465818238,143593.4465818238,19465618.197226644,54070893.45873516,73536511.65596181,215160994.7319911,6940611392.794445
H,2044,6,601509.4608316973,150377.36520792433,44766092.34219195,83764727.80214852,128530820.14434047,333319851.11581594,17205403383.526466
H,2044,7,426823.2551931667,170729.3020772667,114452083.55810711,151626154.61764634,266078238.17575344,603356670.6238521,54866361442.143265
H,2044,8,506467.20864856255,227910.24389185314,350780989.8163125,309833948.5202431,660614938.3365556,1232903255.3573687,52043500245.64003
H,2044,9,486635.5201788848,243317.7600894424,536614639.44800913,330779788.86015296,867394428.3081621,1316251754.9798474,23971665268.78705
H,2044,10,351168.59160509036,175584.29580254518,612287321.895212,238699124.43454483,850986446.3297569,949840806.5734483,9598363181.278471
H,2045,1,129716.10834589529,0.0,0.0,0.0,0.0,0.0,0.0
H,2045,2,203458.02545981,6103.7407637943,121.89578918379945,41206.59804600587,41328.49383518967,163970.89187857005,11080036.491320426
H,2045,3,440496.4024083394,22024.82012041697,2747.0683196652026,1785303.7271912454,1788050.7955109107,7104149.779480735,410767471.05149865
H,2045,4,802848.6141316583,56199.40298921609,1269858.2956214272,10651908.955913322,11921767.251534749,42386488.924914606,1639434486.0074308
H,2045,5,1399112.112037571,139911.2112037571,18966452.04662573,52684327.69576368,71650779.74238941,209643518.51255444,7253224936.2853155
H,2045,6,545675.0597622474,136418.76494056184,40610733.00554914,75989366.46184355,116600099.46739268,302379831.941592,17770840244.596134
H,2045,7,357617.06847462384,143046.82738984955,95894537.38723613,127041111.88576783,222935649.27300397,505526915.8084187,56253408820.610275
